Date,IDV_Industrial_water_tank_01_max_level [cm],QDV_Industrial_water_tank_01_level [cm],IDV_Industrial_water_tank_01_min_level [cm]
2017-11-18 00:00:00,,177,
2017-11-18 00:00:10,,177,
2017-11-18 00:00:20,,177,
2017-11-18 00:00:30,,177,
2017-11-18 00:00:40,,177,
2017-11-18 00:00:50,,177,
2017-11-18 00:01:00,,177,
2017-11-18 00:01:10,,177,
2017-11-18 00:01:20,,177,
2017-11-18 00:01:30,,177,
2017-11-18 00:01:40,,177,
2017-11-18 00:01:50,,177,
2017-11-18 00:02:00,,177,
2017-11-18 00:02:10,,177,
2017-11-18 00:02:20,,177,
2017-11-18 00:02:30,,177,
2017-11-18 00:02:40,,177,
2017-11-18 00:02:50,,177,
2017-11-18 00:03:00,,177,
2017-11-18 00:03:10,,177,
2017-11-18 00:03:20,,177,
2017-11-18 00:03:30,,177,
2017-11-18 00:03:40,,177,
2017-11-18 00:03:50,,177,
2017-11-18 00:04:00,,177,
2017-11-18 00:04:10,,177,
2017-11-18 00:04:20,,177,
2017-11-18 00:04:30,,177,
2017-11-18 00:04:40,,177,
2017-11-18 00:04:50,,177,
2017-11-18 00:05:00,,177,
2017-11-18 00:05:10,,177,
2017-11-18 00:05:20,,177,
2017-11-18 00:05:30,,177,
2017-11-18 00:05:40,,177,
2017-11-18 00:05:50,,177,
2017-11-18 00:06:00,,177,
2017-11-18 00:06:10,,177,
2017-11-18 00:06:20,,177,
2017-11-18 00:06:30,,177,
2017-11-18 00:06:40,,177,
2017-11-18 00:06:50,,177,
2017-11-18 00:07:00,,177,
2017-11-18 00:07:10,,177,
2017-11-18 00:07:20,,177,
2017-11-18 00:07:30,,177,
2017-11-18 00:07:40,,177,
2017-11-18 00:07:50,,177,
2017-11-18 00:08:00,,177,
2017-11-18 00:08:10,,177,
2017-11-18 00:08:20,,177,
2017-11-18 00:08:30,,177,
2017-11-18 00:08:40,,177,
2017-11-18 00:08:50,,177,
2017-11-18 00:09:00,,177,
2017-11-18 00:09:10,,177,
2017-11-18 00:09:20,,177,
2017-11-18 00:09:30,,177,
2017-11-18 00:09:40,,177,
2017-11-18 00:09:50,,177,
2017-11-18 00:10:00,,177,
2017-11-18 00:10:10,,177,
2017-11-18 00:10:20,,177,
2017-11-18 00:10:30,,177,
2017-11-18 00:10:40,,177,
2017-11-18 00:10:50,,177,
2017-11-18 00:11:00,,177,
2017-11-18 00:11:10,,177,
2017-11-18 00:11:20,,177,
2017-11-18 00:11:30,,177,
2017-11-18 00:11:40,,177,
2017-11-18 00:11:50,,177,
