Date,QDV_Drill_rig_01_operation_time [h],QDV_Standstill_time [h],QDV_Ring_building_operation_time [h],QDV_Advance_operation_time [h]
2017-11-18 00:00:00,,9795,440,301
2017-11-18 00:00:10,,9795,440,301
2017-11-18 00:00:20,,9795,440,301
2017-11-18 00:00:30,,9795,440,301
2017-11-18 00:00:40,,9795,440,301
2017-11-18 00:00:50,,9795,440,301
2017-11-18 00:01:00,,9795,440,301
2017-11-18 00:01:10,,9795,440,301
2017-11-18 00:01:20,,9795,440,301
2017-11-18 00:01:30,,9795,440,301
2017-11-18 00:01:40,,9795,440,301
2017-11-18 00:01:50,,9795,440,301
2017-11-18 00:02:00,,9795,440,301
2017-11-18 00:02:10,,9795,440,301
2017-11-18 00:02:20,,9795,440,301
2017-11-18 00:02:30,,9795,440,301
2017-11-18 00:02:40,,9795,440,301
2017-11-18 00:02:50,,9795,440,301
2017-11-18 00:03:00,,9795,440,301
2017-11-18 00:03:10,,9795,440,301
2017-11-18 00:03:20,,9795,440,301
2017-11-18 00:03:30,,9795,440,301
2017-11-18 00:03:40,,9795,440,301
2017-11-18 00:03:50,,9795,440,301
2017-11-18 00:04:00,,9795,440,301
2017-11-18 00:04:10,,9795,440,301
2017-11-18 00:04:20,,9795,440,301
2017-11-18 00:04:30,,9795,440,301
2017-11-18 00:04:40,,9795,440,301
2017-11-18 00:04:50,,9795,440,301
2017-11-18 00:05:00,,9795,440,301
2017-11-18 00:05:10,,9795,440,301
2017-11-18 00:05:20,,9795,440,301
2017-11-18 00:05:30,,9795,440,301
2017-11-18 00:05:40,,9795,440,301
2017-11-18 00:05:50,,9795,440,301
2017-11-18 00:06:00,,9795,440,301
2017-11-18 00:06:10,,9795,440,301
2017-11-18 00:06:20,,9795,440,301
2017-11-18 00:06:30,,9795,440,301
2017-11-18 00:06:40,,9795,440,301
2017-11-18 00:06:50,,9795,440,301
2017-11-18 00:07:00,,9795,440,301
2017-11-18 00:07:10,,9795,440,301
2017-11-18 00:07:20,,9795,440,301
2017-11-18 00:07:30,,9795,440,301
2017-11-18 00:07:40,,9795,440,301
2017-11-18 00:07:50,,9795,440,301
2017-11-18 00:08:00,,9795,440,301
2017-11-18 00:08:10,,9795,440,301
2017-11-18 00:08:20,,9795,440,301
2017-11-18 00:08:30,,9795,440,301
2017-11-18 00:08:40,,9795,440,301
2017-11-18 00:08:50,,9795,440,301
2017-11-18 00:09:00,,9795,440,301
2017-11-18 00:09:10,,9795,440,301
2017-11-18 00:09:20,,9795,440,301
2017-11-18 00:09:30,,9795,440,301
2017-11-18 00:09:40,,9795,440,301
2017-11-18 00:09:50,,9795,440,301
2017-11-18 00:10:00,,9795,440,301
2017-11-18 00:10:10,,9795,440,301
2017-11-18 00:10:20,,9795,440,301
2017-11-18 00:10:30,,9795,440,301
2017-11-18 00:10:40,,9795,440,301
2017-11-18 00:10:50,,9795,440,301
2017-11-18 00:11:00,,9795,440,301
2017-11-18 00:11:10,,9795,440,301
2017-11-18 00:11:20,,9795,440,301
2017-11-18 00:11:30,,9795,440,301
2017-11-18 00:11:40,,9795,440,301
2017-11-18 00:11:50,,9795,440,301
2017-11-18 00:12:00,,9795,440,301
2017-11-18 00:12:10,,9795,440,301
2017-11-18 00:12:20,,9796,440,301
2017-11-18 00:12:30,,9796,440,301
2017-11-18 00:12:40,,9796,440,301
2017-11-18 00:12:50,,9796,440,301
2017-11-18 00:13:00,,9796,440,301
2017-11-18 00:13:10,,9796,440,301
2017-11-18 00:13:20,,9796,440,301
2017-11-18 00:13:30,,9796,440,301
2017-11-18 00:13:40,,9796,440,301
2017-11-18 00:13:50,,9796,440,301
2017-11-18 00:14:00,,9796,440,301
2017-11-18 00:14:10,,9796,440,301
2017-11-18 00:14:20,,9796,440,301
2017-11-18 00:14:30,,9796,440,301
2017-11-18 00:14:40,,9796,440,301
2017-11-18 00:14:50,,9796,440,301
2017-11-18 00:15:00,,9796,440,301
2017-11-18 00:15:10,,9796,440,301
2017-11-18 00:15:20,,9796,440,301
2017-11-18 00:15:30,,9796,440,301
2017-11-18 00:15:40,,9796,440,301
2017-11-18 00:15:50,,9796,440,301
2017-11-18 00:16:00,,9796,440,301
2017-11-18 00:16:10,,9796,440,301
2017-11-18 00:16:20,,9796,440,301
2017-11-18 00:16:30,,9796,440,301
2017-11-18 00:16:40,,9796,440,301
2017-11-18 00:16:50,,9796,440,301
2017-11-18 00:17:00,,9796,440,301
2017-11-18 00:17:10,,9796,440,301
2017-11-18 00:17:20,,9796,440,301
2017-11-18 00:17:30,,9796,440,301
2017-11-18 00:17:40,,9796,440,301
2017-11-18 00:17:50,,9796,440,301
2017-11-18 00:18:00,,9796,440,301
2017-11-18 00:18:10,,9796,440,301
2017-11-18 00:18:20,,9796,440,301
2017-11-18 00:18:30,,9796,440,301
2017-11-18 00:18:40,,9796,440,301
2017-11-18 00:18:50,,9796,440,301
2017-11-18 00:19:00,,9796,440,301
